bnf_code,bnf_presentation,bnf_chemical,pct,category,avg_brand_count_per_practice,lowest_decile,quantity,price_per_dose,possible_savings,formulation_swap,num_pack_sizes,flag_imported,flag_broken_bulk,flag_non_bioequivalence,flag_special_containers
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,99P,NP8,1.10227272727,5.9155,35736,6.48402893324,20338.194,,3.0,,,,1.0
0302000K0AAAMAM,Budesonide/Formoterol Inh B/A 200/6(120D,Budesonide,99P,C,2.18965517241,33.985,5042,36.5796059536,13145.11,,3.0,,,,1.0
0601060D0AAA0A0,Glucose Blood Testing Reagents,Glucose Blood Testing Reagents,99P,NP8,11.6101694915,0.242901153846,931673,0.253962881267,12942.3244004,,,,,,
0408010AEAAAGAG,Pregabalin_Cap 300mg,Pregabalin,99P,C,2.13274336283,0.989,93796,1.12202698541,11986.012,,3.0,,,,
0408010AEAAAEAE,Pregabalin_Cap 150mg,Pregabalin,99P,C,2.21052631579,0.9775,89637,1.10603643063,11896.735,,3.0,,,,
0403040W0AAAEAE,Venlafaxine_Cap 150mg M/R,Venlafaxine,99P,C,2.02727272727,0.139303525248,51133,0.402892359766,10300.8983461,Cap  / Tab ,3.0,,,,
0302000N0AABGBG,Fluticasone/Salmeterol_Inh 250/25mcg120D,Fluticasone Propionate (Inh),99P,C,1.47368421053,54.5233333333,2267,58.8099758313,10062.0333333,,3.0,,,,1.0
0302000K0AAAUAU,Budesonide/Formoterol Inh B/A 400/12(60D,Budesonide,99P,C,2.05217391304,33.985,3815,36.4379120637,9543.655,,3.0,,,,1.0
0408010AEAAACAC,Pregabalin_Cap 75mg,Pregabalin,99P,C,2.24786324786,0.9775,81763,1.08602590426,9293.2175,Cap  / Pdr Sach ,3.0,,,,
0302000N0AABFBF,Fluticasone/Salmeterol_Inh 125/25mcg120D,Fluticasone Propionate (Inh),99P,C,1.6347826087,32.0833333333,3212,34.7309769795,8467.08333333,,3.0,,,,1.0
0403040W0AAADAD,Venlafaxine_Cap 75mg M/R,Venlafaxine,99P,C,2.01769911504,0.0928571428571,53266,0.282601925852,8155.22857143,Cap  / Tab ,3.0,,,,
0408010H0AAAAAA,Lamotrigine_Tab 100mg,Lamotrigine,99P,M,1.39449541284,0.0291071428571,63435,0.133324279232,7930.32232143,Tab  / Cap ,3.0,,,,
1002020S0AAABAB,Methocarbamol_Tab 750mg,Methocarbamol,99P,A,1.07843137255,0.316851694915,43623,0.477730731698,7872.35954661,,3.0,,,,
0408010AEAAABAB,Pregabalin_Cap 50mg,Pregabalin,99P,C,2.16363636364,0.9775,57646,1.09835374379,6862.1325,,3.0,,,,
0408010A0AAABAB,Levetiracetam_Tab 500mg,Levetiracetam,99P,M,1.38938053097,0.0558230645161,67734,0.194477017983,6667.41757371,,3.0,,,,
0408010AEAAADAD,Pregabalin_Cap 100mg,Pregabalin,99P,C,1.97115384615,0.9775,48194,1.11225477429,6342.48,,3.0,,,,
0802010M0AAABAB,Mycophenolate Mofetil_Tab 500mg,Mycophenolate Mofetil,99P,M,1.17857142857,0.139598559254,30478,0.319103350587,6287.61658448,,3.0,,,,
0408010AEAAAAAA,Pregabalin_Cap 25mg,Pregabalin,99P,C,2.04901960784,0.9775,47854,1.08813393752,5254.59,,3.0,,,,
0408010A0AAACAC,Levetiracetam_Tab 1g,Levetiracetam,99P,M,1.28735632184,0.106820493066,23345,0.350764010876,5244.83720108,,3.0,,,,
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),99P,NP8,1.0,0.715722222222,10863,1.23079177677,4798.02505556,,3.0,,,,
0402010ABAAAXAX,Quetiapine_Tab 300mg M/R,Quetiapine,99P,C,1.41538461538,1.17853929431,7234,1.79620271447,4412.95043545,,3.0,,,,
