bnf_code,bnf_presentation,bnf_chemical,practice,pct,category,avg_brand_count_per_practice,lowest_decile,quantity,price_per_dose,possible_savings,formulation_swap,num_pack_sizes,flag_imported,flag_broken_bulk,flag_non_bioequivalence,flag_special_containers
0208010L0AAAIAI,"Dalteparin Sod_Inj 25,000u/ml 0.72ml Pfs",Dalteparin Sodium,K84055,10Q,NP8,1,10.1638796341,110,137.408,13996.8532403,,3.0,,,,
0908010P0AAAEAE,Sod Phenylbut_Liq Spec 1.25g/5ml,Sodium Phenylbutyrate,J82034,11A,NP8,1,1.08841333333,2500,5.5635,11187.7166667,,3.0,,,,
0908010S0AAACAC,Trientine Dihydroch_Cap 300mg,Trientine Dihydrochloride,E83638,07M,NP8,1,22.9108,400,49.99,10831.68,,,,,,
0401010ADAABPBP,Melatonin_Tab 3mg,Melatonin,H82016,09G,NP8,2,0.749107142857,552,19.2618478261,10219.0328571,Tab  / Cap ,,,,,
0908010S0AAACAC,Trientine Dihydroch_Cap 300mg,Trientine Dihydrochloride,F81069,06T,NP8,1,22.9108,200,65.74,8565.84,,,,,,
0902012L0AABRBR,Sod Chlor_Liq Spec 292.5mg/5ml,Sodium Chloride,B83602,02N,NP8,1,0.0613566666667,8000,1.1,8309.14666667,Liq Spec  / Oral Soln ,,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,H82052,09H,NP8,1,5.92,1771,9.94,7119.42,,3.0,,,,1.0
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),M91011,05Y,NP8,1,0.704480519481,3672,2.55100762527,6780.44753247,,3.0,,,,
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,C82031,04C,NP8,1,8.46785714286,60,115.164,6401.76857143,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,G83006,07N,NP8,1,5.92,1500,9.94,6030.0,,3.0,,,,1.0
0601040E0AABHBH,Diazoxide_Oral Susp 250mg/5ml,Diazoxide,G82135,99J,NP8,1,1.50603888889,360,17.9466666667,5918.626,Oral Susp  / Oral Soln ,3.0,1.0,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,B81068,02Y,NP8,1,5.92,1465,9.94,5889.3,,3.0,,,,1.0
0601040E0AABHBH,Diazoxide_Oral Susp 250mg/5ml,Diazoxide,L84039,11M,NP8,1,1.50603888889,300,21.022,5854.78833333,Oral Susp  / Oral Soln ,3.0,1.0,,,1.0
0908010S0AAACAC,Trientine Dihydroch_Cap 300mg,Trientine Dihydrochloride,A83071,00D,NP8,1,22.9108,200,52.1,5837.84,,,,,,
0407020Q0AAFXFX,Morph Sulf_Intrasite Gel 0.1%,Morphine Sulfate,G81006,09D,NP8,1,5.40619999998,280,25.2665,5560.884,Intrasite Gel  / Gel ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,M84037,05H,NP8,1,5.92,1383,9.94,5559.66,,3.0,,,,1.0
0601011R0AAABAB,Ins Hum_Inj 500u/ml 20ml Vl,Insulin Human,J82094,10J,NP8,1,303.25,4,1662.85,5438.4,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,E82073,06N,NP8,1,5.92,1280,9.94,5145.6,,3.0,,,,1.0
0604020K0AABMBM,Testosterone_Gel 2% (10mg per actuation),Testosterone,J82094,10J,NP8,2,0.477833333333,1800,3.27083888889,5027.41,Gel  / Crm ,3.0,,,,1.0
0906040G0AABGBG,"Colecal_Tab 1,000u",Colecalciferol,N83020,01X,C,1,0.0576323653715,5346,0.986571268238,4966.10737472,Tab  / Cap ,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A82017,01H,NP8,2,5.92,1860,8.56758064516,4924.5,,3.0,,,,1.0
0407010Q0AAAAAA,Co-Proxamol_Tab 32.5mg/325mg,Co-Proxamol (Dextroprop HCl/Paracet),K81017,10M,NP8,1,0.704480519481,1372,4.22890670554,4835.51272727,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A89017,00P,NP8,1,5.92,1197,9.94,4811.94,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,G82107,10E,NP8,1,5.92,1196,9.94,4807.92,,3.0,,,,1.0
0208010L0AAAHAH,"Dalteparin Sod_Inj 25,000u/ml 0.6ml Pfs",Dalteparin Sodium,D81619,06H,NP8,1,8.46785714286,45,115.164,4801.32642857,,3.0,,,,
0408020V0AAALAL,Midazolam_Liq Spec 50mg/5ml,Midazolam Maleate,M86003,05A,NP8,1,16.68,160,46.131375,4712.22,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A85005,13T,NP8,1,5.92,1171,9.94,4707.42,,3.0,,,,1.0
0908010S0AAACAC,Trientine Dihydroch_Cap 300mg,Trientine Dihydrochloride,D83056,06L,NP8,1,22.9108,600,30.734,4693.92000001,,,,,,
0906050P0AAAFAF,Vit E_Cap 400u,Vitamin E,F82055,08F,NP8,1,0.0593333333333,280,16.6913214286,4656.95666667,Cap  / Tab ,3.0,,,,
0208010L0AAAIAI,"Dalteparin Sod_Inj 25,000u/ml 0.72ml Pfs",Dalteparin Sodium,D81015,06H,NP8,1,10.1638796341,116,49.6553448276,4581.00996245,,3.0,,,,
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A86029,13T,NP8,1,5.92,1137,9.94,4570.74,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A89004,00P,NP8,1,5.92,1108,9.94,4454.16,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,C83637,04D,NP8,1,5.92,1105,9.94,4442.1,,3.0,,,,1.0
1404000H0AAAFAF,Influenza_Vac Inact 0.5ml Pfs,Influenza,A85008,13T,NP8,2,5.92,1117,9.89501342883,4440.09,,3.0,,,,1.0
